ID,price,yearBuilt,livingArea,bathrooms,bedrooms,parking,garageSpaces,hasGarage,pool,spa
432,194500,1900,1895,2,4,0,0,0,0,0
433,135000,1930,1784,2,6,0,0,0,0,0
434,49900,1955,1225,2,4,1,0,0,0,0
435,159900,1946,1997,3,3,1,0,0,0,0
436,472500,1998,4109,4,4,1,0,0,0,0
437,479900,2003,3224,4,4,1,0,0,0,0
438,84900,1980,1920,2,4,0,0,0,0,0
439,84000,1942,1674,2,3,1,0,0,0,0
440,37500,1970,850,3,3,0,0,0,0,0
441,85000,1935,1381,1,2,1,0,0,0,0
442,124900,1940,1798,2,3,0,0,0,0,0
443,22500,1940,1012,1,3,0,0,0,0,0
444,364000,1936,4888,3,4,1,0,0,1,0
445,39900,1965,2249,3,3,0,0,0,0,0
446,45000,1935,1312,1,3,1,0,0,0,0
447,615000,1999,4366,6,6,1,0,0,0,0
448,250000,1995,1868,2,4,1,0,0,1,1
449,39475,1961,1092,2,4,1,0,0,0,0
450,39475,1961,1092,2,4,1,0,0,0,0
451,795,1940,1140,1,2,0,0,0,0,0
452,895,1940,1020,1,2,0,1,1,0,0
453,71830,1970,988,2,3,0,1,1,0,0
454,585000,1950,2604,2,3,0,2,1,1,0
455,360000,1942,1350,2,3,0,0,0,0,0
456,65000,1950,1018,1,3,0,0,0,0,0
457,275000,1895,529,1,1,0,0,0,0,0
458,349900,1946,1440,2,2,0,0,0,0,0
459,55000,1930,2206,3,4,0,2,1,0,0
460,99000,1940,1729,2,4,0,0,1,0,0
461,149000,1957,900,1,3,0,0,0,0,0
462,500000,1920,2090,3,3,0,0,0,0,0
463,75000,1910,1075,1,2,0,0,0,0,0
464,349900,1850,870,1,1,0,0,0,0,0
465,159900,1942,888,1,2,0,0,0,0,0
466,210000,1940,1234,1,2,0,0,0,0,0
467,239000,2007,1176,1,1,0,0,1,0,0
468,199900,1942,1438,2,4,0,0,0,0,0
469,267000,1888,635,1,1,0,0,0,0,0
470,158000,1946,816,1,2,0,0,0,0,0
471,52000,1930,940,2,3,0,0,0,0,0
472,100000,1941,1080,1,2,0,0,0,0,0
473,80000,1900,1210,2,2,0,0,0,0,0
474,35000,1959,672,1,2,0,0,0,0,0
475,460000,2021,2100,3,3,0,0,0,0,0
476,1774900,2016,4472,4,6,0,1,1,0,0
477,375000,1901,3142,3,4,0,0,0,0,0
478,475000,1920,1100,1,2,0,0,1,0,0
479,400000,1998,2612,2,3,1,0,0,0,1
480,150000,1945,872,1,2,0,0,0,0,0
481,65000,1910,1131,1,3,0,0,0,0,0
482,165000,1961,1963,2,4,0,0,0,0,0
483,95000,1930,1000,1,3,0,0,0,0,0
484,70000,1960,860,1,2,0,0,0,0,0
485,165000,2020,1121,2,3,0,0,0,0,0
486,190000,1900,2016,2,6,0,0,0,0,0
487,130000,1930,1008,1,3,0,0,0,0,0
488,74900,1948,1728,2,0,0,0,0,0,0
489,75000,1968,875,1,2,0,0,0,0,0
490,79000,1947,1488,2,3,0,0,0,0,0
491,55000,1913,1080,1,2,0,0,0,0,0
492,1203405,2020,2843,4,3,0,2,1,0,0
493,73000,1960,2400,2,4,0,0,0,0,0
494,110000,1987,1162,2,3,0,0,0,0,0
495,175000,1988,1576,2,3,1,0,0,0,0
496,450000,2006,3795,4,5,0,3,1,0,0
497,481967,1958,2600,3,4,0,2,1,0,0
498,339900,2021,2241,3,4,1,0,1,0,0
499,154900,1955,1232,2,3,0,0,0,0,0
500,599000,1996,4106,4,4,1,0,1,1,0
501,117900,1996,1516,2,3,1,0,0,0,0
502,299900,1983,1696,3,3,0,0,0,0,0
503,289900,1999,1356,3,3,1,1,1,0,0
504,689000,1996,3413,4,4,1,2,1,0,1
505,421900,1993,2625,3,4,1,2,1,1,0
506,250000,2005,1696,3,3,1,1,1,0,0
507,429900,1992,2747,3,4,1,2,1,0,0
508,699000,2005,4690,5,6,1,2,1,0,1
509,450000,1992,4337,4,6,1,2,1,0,0
510,315000,1985,1756,3,3,1,1,1,0,0
511,425990,2021,2508,4,4,1,0,0,0,0
512,369900,2017,1805,4,4,1,2,1,0,0
513,215000,1985,1280,3,2,1,0,0,0,0
514,1100000,1987,7296,5,6,1,3,1,1,1
515,319000,1996,1948,3,3,1,0,1,0,0
516,315000,1964,1712,2,3,1,1,1,0,1
517,295000,1980,1712,2,3,1,2,1,1,0
518,209900,2005,1265,2,2,1,0,0,0,0
519,299900,1999,1406,3,3,1,1,1,0,0
520,286500,2002,2000,4,4,1,1,1,0,0
521,303000,1977,1164,2,3,1,1,1,0,0
522,349900,1991,1560,3,3,1,2,1,0,0
523,299900,1981,1776,3,3,1,0,0,0,0
524,360000,1979,1575,3,3,1,2,1,1,0
525,280000,1997,1620,2,3,1,0,0,0,0
526,217000,1979,1862,2,3,1,0,0,0,0
527,332500,2018,1931,2,4,1,0,1,0,0
528,270000,1999,1394,2,3,0,0,1,0,0
529,209900,2021,1415,2,3,1,2,1,0,0
530,375000,2014,2394,3,4,0,0,1,0,0
531,204900,2006,1624,2,3,0,0,0,0,0
532,89900,1953,1441,3,6,1,0,0,0,0
533,25000,1965,1400,2,3,0,0,0,0,0
534,195000,1942,1312,2,3,1,1,1,0,0
535,150000,1955,1298,1,3,1,0,0,0,0
536,269900,2013,2050,4,3,0,0,0,0,0
537,485000,1940,3306,3,5,0,0,0,0,0
538,129900,1970,1215,2,3,0,0,0,0,0
539,239000,1926,1824,2,3,1,0,0,0,0
540,109900,1931,1272,1,3,0,0,0,0,0
541,52500,1949,921,1,2,0,0,0,0,0
542,99900,1946,1404,3,3,0,0,0,0,0
543,125000,1942,1006,1,2,0,0,0,0,0
544,75000,1953,826,1,2,0,0,0,0,0
545,44900,1941,1064,1,3,0,0,0,0,0
546,255000,1922,2044,2,3,0,0,0,0,0
547,179000,1916,2712,4,4,0,0,0,0,0
548,154000,1950,1069,1,2,0,0,0,0,0
549,96228,1955,972,2,2,1,0,0,0,0
550,750000,1835,7796,8,6,1,6,1,0,0
